year,country,institution,uni_rank,uni_score,score_gap_parent,entered_top100_parent,top_uni_parent
2018,Japan,Hiroshima University,322,35.8,10.2,1,Tokyo Institute of Technology (Tokyo Tech)
2018,Japan,Kobe University,351,33.6,10.2,1,Tokyo Institute of Technology (Tokyo Tech)
2018,Germany,Ludwig-Maximilians-Universität München,66,70.8,7.4,1,Technical University of Munich
2018,Germany,Ruprecht-Karls-Universität Heidelberg,68,70.4,7.4,1,Technical University of Munich
2018,Germany,"KIT, Karlsruhe Institute of Technology",107,61.9,7.4,1,Technical University of Munich
2018,Germany,Humboldt-Universität zu Berlin,120,59.2,7.4,1,Technical University of Munich
2018,Germany,RWTH Aachen University,141,55.6,7.4,1,Technical University of Munich
2018,Germany,Technische Universität Berlin (TU Berlin),144,55.2,7.4,1,Technical University of Munich
2018,Germany,Albert-Ludwigs-Universitaet Freiburg,171,50.8,7.4,1,Technical University of Munich
2018,Germany,University of Göttingen,181,49.6,7.4,1,Technical University of Munich
2018,Germany,Universität Hamburg,223,44.2,7.4,1,Technical University of Munich
2018,Germany,Rheinische Friedrich-Wilhelms-Universität Bonn,239,42.6,7.4,1,Technical University of Munich
2018,Germany,Universität Konstanz,385,31.5,7.4,1,Technical University of Munich
2018,Argentina,Universidad de Belgrano,337,34.9,4.5,1,Universidad de Buenos Aires (UBA)
2018,Ireland,University College Dublin,168,51.5,1.1,1,"Trinity College Dublin, The University of Dublin"
2018,South Korea,Sungkyunkwan University(SKKU),108,61.6,-2.3,0,Yonsei University
2018,South Korea,Hanyang University,155,53.2,-2.3,0,Yonsei University
2018,South Korea,HUFS - Hankuk (Korea) University of Foreign Studies ,397,30.6,-2.3,0,Yonsei University
2018,Sweden,Chalmers University of Technology,133,57.1,-3.2,0,Uppsala University
2018,Sweden,Umea University,338,34.8,-3.2,0,Uppsala University
2018,Denmark,Aalborg University,379,32.2,-5.3,0,Aarhus University
2018,Denmark,University of Southern Denmark (SDU),384,31.6,-5.3,0,Aarhus University
2018,Brazil,Universidade Federal do Rio de Janeiro,311,36.7,-5.5,0,Universidade de São Paulo
2018,New Zealand,University of Canterbury,214,46.3,-10.4,0,University of Otago
2018,New Zealand,Victoria University of Wellington,219,45.5,-10.4,0,University of Otago
2018,New Zealand,University of Waikato,292,38.1,-10.4,0,University of Otago
2018,Austria,Universität Innsbruck,286,38.5,-11.3,0,University of Vienna
2018,Spain,Universidad Autónoma de Madrid,187,49.2,-11.7,0,Universitat de Barcelona
2018,Spain,Complutense University of Madrid,233,43.2,-11.7,0,Universitat de Barcelona
2018,Spain,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),275,39.4,-11.7,0,Universitat de Barcelona
2018,Spain,Universidad Carlos III de Madrid (UC3M),281,38.9,-11.7,0,Universitat de Barcelona
2018,Italy,Sapienza University of Rome,215,46.1,-13.7,0,Politecnico di Milano
2018,Italy,Politecnico di Torino,307,37.0,-13.7,0,Politecnico di Milano
2018,India,Indian Institute of Science,190,49.0,-13.9,0,Indian Institute of Technology Delhi (IITD)
2018,Taiwan,National Yang Ming University,329,35.5,-20.3,0,National Cheng Kung University (NCKU)
2018,Malaysia,Universiti Teknologi Malaysia ,253,41.1,-21.0,0,Universiti Putra Malaysia (UPM)
2018,Finland,Tampere University of Technology ,380,32.1,-25.3,0,University of Turku
2019,United States,Stanford University,2,98.6,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Harvard University,3,98.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,California Institute of Technology (Caltech),4,97.2,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Chicago,9,93.2,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Princeton University,13,90.9,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Cornell University,14,90.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Yale University,15,89.6,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Columbia University,16,88.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Pennsylvania,19,86.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Michigan-Ann Arbor,20,86.4,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Johns Hopkins University,21,85.9,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Duke University,26,83.9,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,"University of California, Berkeley (UCB)",27,83.2,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,"University of California, Los Angeles (UCLA)",32,81.9,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Northwestern University,34,81.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,"University of California, San Diego (UCSD)",41,78.6,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,New York University (NYU),43,77.7,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Carnegie Mellon University,46,76.6,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Wisconsin-Madison,53,73.2,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Brown University,56,72.0,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Texas at Austin,63,68.7,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Washington,66,67.8,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Illinois at Urbana-Champaign,71,67.0,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,The Ohio State University,89,62.4,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Pennsylvania State University,95,61.9,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Southern California,115,56.2,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Pittsburgh,136,51.8,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Emory University,148,49.6,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,"University of California, Irvine",169,47.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Dartmouth College,183,45.8,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Colorado Boulder,190,45.0,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Virginia,192,44.8,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Texas A&M University,203,43.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,Georgetown University,226,40.8,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,The University of Arizona,246,38.5,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of Massachusetts Amherst,259,37.3,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,"Stony Brook University, State University of New York",349,31.2,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,"The University of Tennessee, Knoxville",419,27.2,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,The University of Georgia,431,26.7,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United States,University of New Mexico,494,23.8,39.7,1,Massachusetts Institute of Technology (MIT) 
2019,United Kingdom,University of Cambridge,6,95.6,36.5,1,University of Oxford
2019,United Kingdom,Imperial College London,8,93.3,36.5,1,University of Oxford
2019,United Kingdom,UCL,10,92.9,36.5,1,University of Oxford
2019,United Kingdom,The University of Edinburgh,18,86.9,36.5,1,University of Oxford
2019,United Kingdom,The University of Manchester,29,82.9,36.5,1,University of Oxford
2019,United Kingdom,King's College London,31,82.5,36.5,1,University of Oxford
2019,United Kingdom,The London School of Economics and Political Science (LSE),38,80.2,36.5,1,University of Oxford
2019,United Kingdom,University of Bristol,51,74.9,36.5,1,University of Oxford
2019,United Kingdom,The University of Warwick,54,72.9,36.5,1,University of Oxford
2019,United Kingdom,Durham University,74,65.7,36.5,1,University of Oxford
2019,United Kingdom,University of Nottingham,82,63.1,36.5,1,University of Oxford
2019,United Kingdom,University of Southampton,96,61.6,36.5,1,University of Oxford
2019,United Kingdom,University of St Andrews,97,61.4,36.5,1,University of Oxford
2019,United Kingdom,Queen Mary University of London,119,55.4,36.5,1,University of Oxford
2019,United Kingdom,Lancaster University,131,53.0,36.5,1,University of Oxford
2019,United Kingdom,University of York,134,52.4,36.5,1,University of Oxford
2019,United Kingdom,Cardiff University,145,50.3,36.5,1,University of Oxford
2019,United Kingdom,University of Bath,158,48.6,36.5,1,University of Oxford
2019,United Kingdom,University of Liverpool,164,47.9,36.5,1,University of Oxford
2019,United Kingdom,University of Sussex,227,40.7,36.5,1,University of Oxford
2019,United Kingdom,Royal Holloway University of London,236,39.1,36.5,1,University of Oxford
2019,United Kingdom,University of Surrey,248,38.3,36.5,1,University of Oxford
2019,United Kingdom,University of Strathclyde,268,36.6,36.5,1,University of Oxford
2019,United Kingdom,SOAS University of London ,288,35.1,36.5,1,University of Oxford
2019,United Kingdom,"City, University of London",351,31.0,36.5,1,University of Oxford
2019,United Kingdom,"Goldsmiths, University of London",396,28.3,36.5,1,University of Oxford
2019,Switzerland,EPFL,22,85.8,35.0,1,ETH Zurich - Swiss Federal Institute of Technology
2019,Switzerland,University of Zurich,78,63.6,35.0,1,ETH Zurich - Swiss Federal Institute of Technology
